飞机上遗失东西怎么找回？	三、旅客来电反映将物品遗失在飞机上,若是刚刚下机,可联系候机寻找。
外籍旅客如果护照丢失乘坐国内航班应出示哪些证件？	需要出具由出入境管理处开具带照片并盖章的证明及护照复印件（只能乘坐国内航班）
外籍旅客及台湾同胞进入西藏需要哪些证件？	外籍旅客及台湾同胞进入西藏，须持有中国签证和入藏函。没有入藏许可证件的外籍旅客，只允许在拉萨当天中转，不能停留过夜。
身份证丢失如何办理国内航班登机手续？	首先要在户口所在地的派出所开具“户籍证明”（必须有照片），携带“户籍证明”和两张一寸证件照片到机场派出所开具“临时乘机证明”，即可办理登机手续。
何种情况需要办理过境签证？	购买从中国出发，经另一个国家转机去第三国的请您事先与相关部门咨询是否需要办理过境签证，以免影响您的行程。
购买国际客票对证件有效期是否有要求？	除地区航线（港澳台）外，您持有护照有效期应不少于半年。
我用一代身份证可以办理登机手续吗？	不可以。
国内居民乘坐国内航班可以使用港澳通行证吗？	不可以
香港居民身份证可以用来乘坐大陆航班吗？	不可以
代码共享航班是否可以办理网上乘机登记？	不可以，只有国航实际承运的航班才可以。
如何办理乘机手续？	"持有国航电子客票时，您可以选择如下任何一种方式办理乘机手续：

1.凭有效旅行证件在机场办理乘机手续（您使用的旅行证件必需与您预订机票时使用的旅行证件相同）：前往国航指定机场柜台办理乘机手续、选择座位并领取登机牌。国航服务人员将确认您的电子客票上显示的您的姓名和身份证件号码是否与您预订机票时所使用的姓名和身份证件号码相同、同时确认您的航班的航班号和起飞时间、打印登机牌并告知您托运行李的地点。托运行李并领取登机牌后，您凭登机牌通过机场安检,前往登机口。为了避免延误航班，请留出办理乘机手续、安检和前往登机口的充足时间。我们建议您在航班起飞前90分钟到达机场。

2.网上办理乘机手续：当您的航班和时间允许您通过国航网站办理乘机手续时，您便可以选择网上办理乘机手续、选择座位并打印登机牌。抵达机场时，您便可以凭打印在A4纸上的登机牌直接通过机场安检并前往登机口。

3．利用机场自助乘机手续设备办理乘机手续：您可以凭有效旅行证件在机场利用自助乘机手续设备办理乘机手续。您使用的旅行证件必需与您预订机票时使用的旅行证件相同。您可以根据自助乘机手续设备屏幕上显示的指示选择座位和打印登机牌。

4．手机客户端办理乘机手续：当您的航班和时间允许手机办理乘机手续时，您便可以选择用国航手机客户端办理乘机手续、选择座位并通过手机接收一个独特二维码，此二维码便是您的电子登机牌。到达机场后，您可凭借电子登机牌直接通过安检和登机。如遇航班变更、飞机调配或升舱，请联系机场国航候补柜台。也可以发送手机短信至95583办理乘机手续：发送“5”或“Check in”(乘机手续)至95583，国航“小秘书”将指示您提供您的航班日期、航班号和身份证号，如2011,09,22，CA123，110101190001011234，然后请按照系统短信指令进行操作。系统会自动帮您选择座位和办理乘机手续。如果您有其他旅客与您同行，您也可以发送同行旅客的航班日期、航班号、您的身份证件号码和同行旅客的身份证件号码，然后按照系统指令为同行旅客办理乘机手续和选择与您相邻的座位。"
如果有托运行李可以办理网上乘机登记吗？	可以，但托运行李必须在柜台办理，您还需预留出充分的时间，在截至办理登机手续之前完成您的行李托运。
如果办理了网上乘机登记可以取消吗？	可以，但是必须不晚于航班起飞前2小时可以通过网站进行操作，但取消乘机登记的操作最多进行三次。
儿童和婴儿及有特殊服务的旅客能否办理网上乘机登记？	不可以，只能在机场柜台办理。
如果已经办理了网上乘机登记还能够更换座位吗？	可以，您可以在网上乘机登记停止操作之前在网站上取消乘机登记后重新办理。
我提前通过网站办理的乘机登记手续怎么没有显示登机口呢？	可能当时还没有确定登机口的位置，您需要在航班当天到机场进行确认。
我和孩子一起订的票，我能办理网上乘机登记，但孩子的办不了，我该怎么办？	在座位图可以打开的情况下，您可以通过95583预定机上位子，反之建议您直接到机场办理，以免到时候不能坐在一起。
旅客乘坐有国内经停点的国际航班，该怎样办理乘机手续，例如：北京至悉尼航班，需要在上海经停。	旅客在始发地办理ＣＨＥＣＫ　ＩＮ手续，可以正常交运托运行李，但是在国内经停点还需将手提行李携带下飞机办理出境手续。
乘坐国际航班在机场需要办理哪些手续？	海关申报--换登机牌办理行李托运--边防检疫检查--安检--海关--候机及登机。
乘坐代码共享航班应该在哪里办理乘机手续？	实际承运的航空公司乘机登记柜台
什么叫通程登机？	旅客持有列明两个以上航班的客票或者两本（含）以上票号相连的客票，始发站既为旅客将行李运至目的站，还为旅客办理了各中转站的乘机手续。（中转航班不超过24小时）
国航办理乘机手续有哪些方式？	机场柜台，机场自助值机，网站，电话，手机五种方式。
如何在网站上办理相应的乘机手续？	登陆国航官方网站，进入办理乘机手续一栏，按要求填写凭证号码（电子客票号、身份证号或者护照号），手机号，乘客姓名即可办理。
国内航班目前开通网上乘机登记的城市开始和截止办理的时间	各个航线开始办理时间不同，请登录网站页面查询，截止办理时间为航班起飞前1小时。
国际航班目前开通网上乘机登记的城市开始和截止办理的时间	境外航站开始及截止办理时间均不一致，请登陆网站页面查询。
什么条件可以办理电话乘机登记呢？	通过95583订购并且电话支付出票的，国航实际承运的北京，南京，虹桥，大连，哈尔滨始发的国内航班（国际国内联程国内段不能办理，ca4188不能办理，婴儿、儿童、残病旅客及需要特殊服务的旅客除外）（国际航班国内段、ca4188、婴儿、儿童、残病旅客及需要特殊服务的旅客、紧急出口处的座位均不能办理电话值机）
拉萨能够提前办理乘机登记吗？	不可以，只能到机场柜台。
我已经通过95583电话办理了乘机登记手续，现在走不了可以取消吗？	可以，但是必须在航班起飞前１个半小时联系95583网站服务。否则只能在机场乘机登记柜台取消。
什么条件可以办理手机乘机登记？	北京始发国航实际承运的国内航班（国际国内联程国内段、北京到拉萨航班，婴儿、儿童、残病旅客及需要特殊服务的旅客除外）
手机乘机登记办理的时间是什么时候？	各个航线开始办理时间不同，可登陆网站查询，截至时间为航班起飞前90分钟。
办理手机乘机登记的手续是怎样的？	登陆国航手机乘机登记wap网站，WAP.AIRCHINA.COM，选择接受服务条款，提取客户信息，选择座位办理乘机手续，下载二维条码。
我已经办理了手机乘机登记手续可以取消吗？	可以，要在航班起飞前2小时致电95583网站服务取消，否则只能到机场乘机登记柜台取消。
哪些航线适用计重制行李规定？	国航国内航线上执行计重制托运行李规则。
哪些航线适用计件制行李规定？	国航在国际、地区航线上执行计件制托运行李规则。
计重制免费托运行李的重量限额是多少？	持成人或儿童客票的旅客免费行李额为头等舱客票40千克，公务舱客票30千克,经济舱客票20千克。每件行李长、宽、高不得超过100厘米、60厘米、40厘米。持成人或儿童客票的旅客免费交运的行李额为经济舱20千克。每件行李长、宽、高不得超过100厘米、60厘米、40厘米。
计件制，头等舱和公务舱旅客免费行李额有哪些规定？	持成人或儿童客票的旅客免费行李额为头等舱、公务舱两件行李，每件行李的重量限额为32千克，每件行李的三边之和不得超过158厘米。
计件制，普通舱、儿童和婴儿旅客交运行李的尺寸和件数有哪些规定？	国航实际承运美洲、欧洲、非洲、中东、澳新、亚洲（不含日本）及港澳台地区航线持成人或儿童客票的旅客免费行李额为经济舱一件行李，每件行李的重量限额为23 千克，每件行李的三边之和不得超过158厘米；国航实际承运涉及日本航线和第三国及港澳台地区经中国大陆（不含港澳台）中转与美洲（除美国夏威夷航线外）之间第六航权航线持成人或儿童客票的旅客免费行李额为经济舱两件行李，每件行李的重量限额为23 千克，每件行李的三边之和不得超过158厘米；持婴儿客票的旅客免费行李额为一件行李，但三边之和不得超过115厘米，另可免费托运一辆折叠式婴儿车或摇篮。如客舱空间允许，在征得乘务长同意后可带入客舱。
为什么我的免费行李额去程和回程不一样？	因为您去程和回程选择的承运人不同，两个承运人公布的免费行李额政策不同。
行程单上XX航段为什么没有免费行李额？	表示该承运人不允许免费托运行李，如托运行李均须付费。
为什么我在购票时销售人员无法告知我准确的逾重行李收费政策？	因为您行程中XX航段承运人未通过系统发布逾重行李收费政策，我们在系统中无法查询到该承运人逾重行李收费标准。所以，建议您电话咨询该承运人逾重行李的相关政策，并请您提前到达机场值机柜台，预留足够的时间办理XX航段行李托运手续。
行程单上XX航段后“NIL”标识表示什么？	表示该承运人不允许免费托运行李，如托运行李均须付费。
为什么我改期以后免费行李额发生了变化？	"(1) 对于客票全部未使用的情形 因为您客票全部航程均未使用，您申请客票改期后，我们需要为您换开新客票，所以您的免费行李额须按照新客票换开的日期适用的免费行李额政策执行。

                    (2) 对于客票中转点变成中途分程的情形 因为您改期后，您客票上原来的中转点（24小时内转机点）变成了中途分程点（停留超过24小时），您需要在此提取托运行李。由于您的行李提取地点发生了变化，所以您的行程适用的行李政策也同时发生了变化，您的行程将不再适用XX承运人的行李政策，应适用于YY承运人的免费行李额政策。"
为什么我乘坐的不是国航航班，也按国航的免费行李额政策？	因为在您搭乘的联程运输航班中，国航是整个行李运输段的主要承运人，因此在您交运行李至提取行李的这个行李运输段中，不管每个航段的实际承运人是谁，都将按照国航的免费行李政策执行。
为什么我新购买客票的免费行李额和咨询时不一致？	因为各航空公司公布的免费行李额和逾重行李收费政策会随着市场情况进行调整，您咨询信息时该承运人的行李政策可能会在您购票时（或购票前）发生了变化，免费行李额和逾重行李费标准应以您购票之日行程单上显示的行李政策为准。
行李如果发生丢失，国航是如何查找的？	当您的行李发生丢失时，国航会首先将行李有关情况，输入“世界环球查询（WT）系统”，进行24小时自动查找获取信息。这个信息我们随时有人监控并及时处理。无论是否找到，我们都有专人会在第一时间通知您相关信息，我们还会通过其它方式，与始发站（和/或中转站）国航营业部工作人员联系，让他们协助查找您的行李。
国航行李的赔偿责任限额是什么？	"对于符合《华沙公约》标准的航班，行李赔偿限额为每公斤17 SDR*。如行李的实际损失低于此标准，将根据行李的实际损失进行赔偿。非托运行李的赔偿限额为332 SDR*。
                    对于符合《蒙特利尔公约》标准的航班，将根据行李的实际损失进行赔偿。如果能提供适当证明，每名旅客托运和非托运行李的赔偿限额为1131 SDR*。
                    *SDR指的是国际货币基金组织规定的特别提款权，SDR的价值可在www.imf.org查询。"
在乘机时能不能携带小型氧气瓶？	乘机时不允许携带任何有氧设备。
与国际航班联运的国内航班每件最大重量是多少？	国航实际承运的与国际航班联运的国内段每件最大重量不得超过32KG。
国内航班随身携带的行李要求？	国航实际承运的每位头等舱、公务舱旅客可携带两件随身物品，且每件重量不得超过8千克（17磅）；每位经济舱旅客可携带一件随身物品，且重量不得超过5千克（11磅）。每件随身携带物品长、宽、高三边分别不得超过55厘米（22英寸）、40厘米（16英寸）、20厘米（8英寸）。超过部分应作为托运行李运输。
旅客乘坐国内航班随身携带液态化妆品有哪些要求？	"每种化妆品限带一件；
                    每件的容器容积不超过100毫升；
                    置于独立袋内，必须逐个开瓶接受检查；
                    总体积不允许超过1000毫升。"
旅客如果是糖尿病患者，携带药物乘坐国内航班有什么限制？	乘坐国航实际承运的国内航班，糖尿病旅客可以随身携带足够的胰岛素制剂、带针头的皮下注射器以及液态食物（例如无糖果汁）等，但必须出示医疗证明、医生处方和药品说明书，并有安检人员检查确认安全后方可携带。
婴儿可以随身携带液态食品吗？	不可以，但可以自备奶粉在飞机上冲调。
随身行李是否可以带乐器登机？是否有尺寸限制？	乐器体积超过随身携带行李标准时，旅客如果一定要带进飞机客舱中，需要买占座行李票，如大提琴等，票价按正常票价计算。
打火机、火柴可以带上飞机么？	无论随身还是托运都不可以。
如果在机场发生行李丢失该如何办理？	如果您在抵达目的站时没有提取到您的托运行李，请在离开机场前，携带您的旅行资料前往国航或国航代理的行李查询柜台申报 ，我们将为您填制《行李运输事故记录》，并请旅客留存一份作为凭证和方便您随时查询。
我能带食用油上飞机么？	不能，易燃易爆物品禁止携带。
我能带生鸡蛋上飞机么？	不能。生鲜类物品不允许随身携带。
我的行李大小超出了免费行李额的尺寸规定应该怎样托运？	如果您需要托运超重、超大行李，请至少在航班起飞前120分钟到达机场办理托运手续。
我的随身物品遗落在机舱中应该怎样查找？	请您尽快联系机场失物招领部门进行登记。
“无人陪伴儿童”的年龄限制？	国航“无人陪伴儿童”服务的对象为乘坐飞机时无成人(年满18周岁且有民事行为能力的人）同行的年满5周岁未满12周岁的儿童。如果您的孩子年满12周岁但未满18周岁，您可自愿申请无成人陪伴儿童服务。 我们可办理全航程由国航实际承运且挂国航航班号的国内、国际、地区直达航班，以及经北京中转联运航班的无成人陪伴儿童服务。 目前我们不承办跨航空公司的联程航班的无成人陪伴儿童业务。如果联程或回程航班涉及其他航空公司，请与实际承运的航空公司联系。
“无人陪伴儿童”的服务费是多少？	"国内航线直达航班，5-12周岁的无成人陪伴儿童免收服务费；12-18周岁的旅客如申请此项服务须交纳200元服务费。
在国际及地区直达航班上，如您为孩子申请无成人陪伴儿童服务，须交纳服务费260元人民币或50美元，或其他等值货币。
如您为孩子办理经北京中转的国内、国际及地区间单程联运航班的无成人陪伴儿童服务，须交纳服务费520元人民币或100美元，或其他等值货币收取。"
婴儿和儿童往返程、联程客票票价如何计算？	婴儿和儿童往返程、联程客票票价，应按照每个航段旅行之日旅客的年龄来购买相应票价的客票。
旅行之日满两周岁的旅客有什么占座要求吗？	旅行之日未满两周岁的婴儿乘机，不单独占用座位。如需单独占位时，应购买儿童票价客票。旅行之日已满两周岁的旅客乘坐国航航班时必须单独占一个座位。
持往返客票的婴儿、儿童旅客在乘坐回程航班时超出规定年龄需要补收票款差价吗？	对于持有婴儿、儿童往返票价客票的旅客，如因回程改期造成旅客实际旅行之日超过规定年龄时，回程须按照旅行之日旅客的年龄，重新填开一张单程客票，待旅客将新票使用完毕后，原购客票的未使用航段可免费退票。
申请“无人陪伴儿童”服务时，我需要向航空公司提供哪些资料？	"在为您单独乘机旅行的孩子申请无成人陪伴服务时，须提供您本人的身份证件以及您孩子的有效护照等旅行证件的原件或复印件，同时应准确提供送机人及接领人的姓名、住址、联系电话，以便我们和送机人及接领人保持联络。
如您为孩子办理经北京中转的联运航班的无成人陪伴儿童服务时，请您尽可能提供中转地亲友的联系人姓名、证件号码和联系电话号码等信息，以便在必要情况下我们能及时与孩子的亲友取得联系。"
无成人陪伴儿童乘机注意事项？	您的孩子乘机时须带齐以下证件及文件：有效旅行证件、《无成人陪伴儿童乘机申请书》、收费单等。将文件和证件一并装入无成人陪伴儿童文件带内挂于儿童的胸前。请最迟于航班预计起飞时间前120分钟到达机场与我们的工作人员办理交接手续。
国航如何协助我的孩子办理乘机手续及安检手续？	在起飞及抵达目的地机场，我们将有专人协助您的孩子办理乘机登记、海关、安检和提取行李等手续，并在候机期间专人负责照管您的孩子及其文件袋。我们会亲手将孩子交给乘务长，让您的孩子安全顺利地完成空中之旅。为了确保您的孩子顺利登机，我们建议送机人向机场工作人员确认飞机起飞后再离开机场。
如遇航班延误或取消，国航为我的孩子提供怎样的服务以确保其安全？	如遇航班延误，我们将有专人妥善照料您的孩子，安排膳宿和后续运输，并将运输的变动情况通知孩子的接领人、中转站联系人和相关航站。如遇航班取消时，我们会和您取得联系，将孩子安全地交还给您。
抵达目的地机场时，孩子的接领人怎样才能顺利接到我的孩子？	我们会根据您孩子的乘机信息事先与接领人取得联系。当航班落地后，我们会安排专人迎接您的孩子，并与乘务员办理交接手续，协助您的孩子办理到达手续。接领人在到达站须出示有效身份证件，地面服务人员经核对无误会将孩子交给接领人。
申请担架服务的旅客在旅行中需要注意哪些问题？	"为了确保担架旅客在旅途中的安全，您须安排至少一名年满18周岁的成年旅客或医务人员陪伴同行。
每个航班只能收运一名担架旅客。担架设备将被安排在经济舱。
请您最迟于航班预计起飞时间前180分钟到达值机柜台办理乘机登记手续。
如您需要救护车等设施，请您自行联系医院或救护方，其服务费用由您直接支付给救护方。"
每个航班上对所载运的婴儿旅客数量有限制标准吗？	为确保飞行安全，根据民航局颁布的各机型旅客载运数量安全规定，每类机型每条航线的婴儿旅客载运数量均有不同的载运标准。 为确保您和您的孩子顺利出行，请您在订座或购票的同时，向客票销售人员提出婴儿乘机的需求，我们确认符合该航班婴儿载运数量标准后，为您及您所携带的婴儿同时填开客票，以免您单独购买成人客票后再携带婴儿抵达机场，因超出所搭乘航班婴儿载运数量标准而需变更行程的情况发生。
申请婴儿摇篮服务有哪些限制？	满14天至未满2周岁，身长不超过75厘米,体重不超过22磅/10千克的婴儿可申请婴儿摇篮服务。
哪些机型可以提供婴儿摇篮服务？	仅限B747/B777/B787/A330/A340机型执行的国际航线部分舱位中免费提供婴儿摇篮服务，如需预定请提前向我们咨询。
导盲犬和助听犬可以随主人进入客舱吗？	盲人或聋哑旅客所携带的经过专门训练的能够导盲或助听的犬类，在经过我们允许的情况下可带入客舱。如需要携带服务犬旅行，请您最迟于航班起飞48（含）小时之前，向我们在航班始发地直属售票部门提出申请。
国航可提供哪些轮椅供残障旅客使用？	"对于行动不便的旅客，我们可提供免费的轮椅供您使用。我们的工作人员将根据您的身体情况为您提供相应的轮椅服务：
1)地面轮椅，我们在每个机场都配备了轮椅，供行动不便的旅客在航站楼内使用；
2)机上轮椅，我们在所有国际及地区航线和部分国内航线上为无法行走的旅客提供机上轮椅，供您在机舱通道内使用；
3)残疾人登机车，如您无法自行上下楼梯，我们在不停靠廊桥的航班上还可提供可升降的登机车，协助您登机。"
旅客自带的轮椅可以带入客舱吗？	不可以。您自带的轮椅应作为托运行李运输。您所托运的轮椅不计入免费行李额内，免费运输。
孕妇在哪些情况下将被限制乘机？	基于安全方面的考虑，对于以下旅客我们不提供航空运输服务，建议您选择其他方式出行： (1)怀孕满35周（含）以上的孕妇。 (2)预产期在4周（含）之内的孕妇。 (3)预产期临近但无法确定准确日期，已知为多胎分娩或预计有分娩并发症的孕妇。 (4)产后不足7天者。
孕妇乘机时在客舱中的注意事项？	为了确保孕妇旅行过程中的舒适与安全，孕妇旅客在客舱座椅中坐稳后全程需要将安全带系在大腿根部位置。
我已经订好国航的票，可以通过95583进行改期吗？	如果您的客票规定可以改期，并且在您提供旅客姓名，证件号，票号以及航程信息的情况下可以帮您进行修改。如有费用产生，可以通过95583用信用卡支付。
我在代理那订的票，能通过95583电话确认吗？	可以，但需要您提供旅客的姓名，票号及证件号码。
客票的旅行有效期可以延长吗？该怎样办理？	国内客票不允许，国际客票要以您当时购买的客票规定为准，请您订票时及时做咨询。
如果不乘坐当天的航班是否要提前取消座位？	请您在购票时了解相关的误机费用及改退规定，如果您不乘坐当天航班，我们建议您提前取消座位，方便其他旅客使用。
如果我的航班被取消了，我该做些什么？	如果提前告知您原定的航班被取消了，国航将为您办理免费的签改退，建议您尽快联系我们，在有可利用座位的前提下尽量满足您的变更需求。
我应该如何查询航班的动态信息？	通过国航95583或登陆国航官方网站查询。
我可以通过国航95583办理里程换票的改期吗	可以，您可以拨打95583-1-7至会员服务中心办理相关业务。
如何能够预定紧急出口的座位？	国内航线不能提前预定紧急出口的座位，国际航线可以通过国航直销渠道（国航官网、中国国航APP、95583电话销售服务中心、知音会员服务中心、各营业部售票处及值机柜台）购买。
老人能够办理陪伴服务么？	国航目前还没有推出针对老年人的特殊服务。
对老年人乘坐飞机有年龄限制吗？	国航对老年人的年龄没有限制，但前提是旅客的身体健康适于乘坐飞机，且建议有健康成年人陪同乘坐
成人携带婴儿或儿童有数量限制么？	一名成人可以携带三名5岁（不含）以下儿童，或者一名婴儿和两名5岁（不含）以下儿童，或者两名婴儿（但其中一名婴儿需购买儿童客票）。携带5岁（含）以上儿童无数量限制。
在起飞、降落及飞行中，我需要特别照顾婴儿吗？	由于高度的调整所造成的舱压，会导致您的婴儿在起飞和降落时的耳朵不适而嚎啕大哭。这是正常的。在此时，您可以给予婴儿奶瓶或喂食，这将帮助减轻他或她的耳压。同时，我们也建议若您的婴儿有特殊需求，您可以携带您自己的婴儿食品和点心。（液态食品除外）
我已经预定了客票，应该怎样做验真呢？	您可以拨打4008158888，或者登陆国航官方网站，选择：自助服务-服务查询-机票验真。
我购买了保险，在哪里能够体现出来呢？	如果您是通过国航官方网站或者95583购买的保险，您可以在行程单的右下方看到。
我已经订了票，但是现在价格又低了，能退给我差价吗？	航空公司根据市场情况调节机票价格属于正常范畴，价格以您订票时为准，不能退还。
国航有大型客机包括哪些机型？	波音787、777、747，空客330、340
我还没有拿到电子客票行程单会影响我的行程吗？	不会，行程单是作为报销凭证用的。但是您要妥善保管，如遇到退票等事宜还需要收回已经打印的行程单。
我应该如何索要我的行程单呢？	如果您在国航网站购买，可以选择网上邮寄或直接致电国航服务热线95583申请邮寄业务，如果您从其他渠道购买，请直接和购票地索要。
如果我的客票发生改期，我的报销凭证有哪些？	您将有两张供报销使用的行程单，一张是您原购票的行程单，金额是您购票所付的票款；一张是您所补交差价的行程单，金额是您补交差价的票款。
我的行程单一定要在始发地机场打印吗？	不是的，在允许打印行程单的机场均可打印，无始发地的限制。
我已经订购客票，证件号码可以修改吗？	证件号码需要与旅客登机证件号码相符合，如有差异，请您在办理乘机登记手续之前直接联系出票地更改。
国航在上海浦东机场几号航站楼办理手续?	2号航站楼，航班起飞前45分钟停止办理乘机登记手续。
我应提前多长时间申请特殊餐食？	对于犹太餐以外的特殊餐食的预订，您最迟须在航班起飞前24小时（含）提出申请。距航班起飞时间前24小时内，我们不接受任何特殊餐食的申请。
1.我的航班将被更改航线、取消、中断、延期、推迟了，发生上述情况时，我的座位或票将会如何安排？	"有下列情形之一的，南航可按规定不经事先通知改变机型或航线、取消、中断、延期或推迟航班飞行：


1、为了遵守国家法律、行政法规、规章、命令或要求。


2、为了保证飞行安全。


3、其它无法控制或不能预见的原因。





由于上述原因之一，南航取消或延误航班，因而未能向旅客提供已定妥的座位（包括舱位等级），或未能在旅客的中途分程地点或目的地点停留，或造成旅客已定妥座位的航班衔接错失，南航会考虑旅客的合理需要并采取以下措施之一：


1、为旅客安排有可利用座位的南航后续航班。


2、征得旅客及有关承运人的同意后，办理签转手续。


3、变更原客票列明的航程，安排南航或其他承运人的航班将旅客运达目的地点或中途分程地点。


4、按非自愿退票的规定办理。





南航将采取一切必要的措施来避免旅客以及旅客的行李延误。如南航已经采取了一切必要的措施或不可能采取该措施的,南航不承担责任。"
2.什么是“非自愿退票”？	“非自愿退票”是指因航班取消、提前、延误、航程改变、或不能提供原订座位时，旅客要求退票。
3.发生上述情况时，我的食宿将会如何安排？	"1、由于南航机务维护、航班调配、机组等原因，造成航班在始发地点延误或取消，南航规定向旅客提供餐食或住宿等服务。


2、由于非南航原因包括但不限于天气、突发事件、空中交通管制、机场原因以及旅客等原因，造成航班在始发地点延误或取消，南航会协助旅客安排餐食或住宿，费用由旅客自理。


3、航班在经停地点延误或取消，无论何种原因，南航负责向经停旅客提供膳宿服务。"
4.如果航空公司的航班时间表或飞机改变了，那我的座位会怎样？	如果航班时间变动，或因机型变动造成不能提供原来等级的舱位，南航会尽量根据您的意愿为您改签，如果您不接受，可以按非自愿退票处理。
5.目的地机场所在城市天气状况良好，能见度佳，机场也有飞机起降，为什么还是通知航班因天气原因延误？	首先，覆盖在机场起降跑道附近的低云、雷雨区是导致航班延误的常见因素；其次，飞机在空中的飞行航道是严格受限的，目的地机场所在城市天气状况良好并不代表飞行航道适合飞行，所以为了旅客安全着想，航班是有可能延误的。
6.同样是飞往某地的航班，为什么有些能起飞，有些却被告知因天气原因无法飞行？	"出现该情况的原因有：


1、飞机起降的标准与机型有关，并且不同航空公司对同一机型制定的安全标准也不同；


2、民航规定，机长如发现民用航空器、机场、气象条件等不符合规定，不能保证飞行安全的，有权拒绝飞行，而每个机长对气象、趋势等做出的决策会有所不同。"
7.有时航班因天气原因取消，航空公司为什么过后不补班而直接取消？	航班取消后，能否安排补班将由以下因素决定：空管能否批准补班计划、旅客次日签转安排情况、机组执勤时间限制、飞机状况，并且必须保证航班安全、适航才允许补班。
8.快到目的地机场时才被告知因天气原因无法降落而备降其他机场或返航，而有些飞机却能正常落地，这是为什么？	首先，即使民航气象部门随时发布比较准确的气象变化趋势，但天气情况是不断变化的，当该状况不符合航班起降标准时，飞机将无法降落，为安全考虑或油量不足以继续盘旋等待天气好转，飞机将不得不备降其他机场。其次，当天气处于标准边缘时，机长将决定飞机能否降落，而每个机长对天气等因素的判断决定是不同的。
9.旅客全部登机，舱门已关闭，一切准备就绪，但飞机却长时间不起飞，而旁边飞机却能正常起飞，为什么？	舱门关闭、一切准备就绪后，机长还需要向空管部门提出离港申请，空管部门根据流量控制决定飞机能否起飞，其他飞机可以正常离港是由于目的地、方向不同而不受该次流量控制的影响。
10.飞机一切准备就绪，却只在跑道滑行而不起飞，为什么？	机场尤其是繁忙机场航班起降的密度大，为保证运行安全，空中交通管制部门根据在空中、地面的航班流量状况，对机场区内的飞机实施指挥控制，按一定的安全间隔依次进入跑道起飞，保证飞机在安全间隔内滑行和起飞。在部分繁忙机场或一般机场的高峰时段，空中交通处于超负荷运转，地面交通也是如此，飞机离港往往在地面滑行甚至等待较长时间，这都是正常现象。
11.既然有流量控制，为什么不晚点登机，而长时间闷在狭小的客舱里？	因流量控制而长时间等待，到后来却没能起飞且得下飞机到候机楼继续等待，甚至于到了跑道准备起飞又滑回来，这是为什么？
12.因流量控制而长时间等待，到后来却没能起飞且得下飞机到候机楼继续等待，甚至于到了跑道准备起飞又滑回来，这是为什么？	首先，飞机的计划油量是根据机场平均滑行时间与空中飞行时间综合制定的，如在地面等待时间过长，耗油过多，导致油量不足以飞抵目的地，飞机是必须滑回停机坪加油；其次，如果等待期间，长时间无法获得空管的确切起飞指令或发生突发事件，为了旅客着想及防止飞行员精神状态不佳影响飞行安全，飞机同样会滑回。
13.航班因为种种原因延误了，航空公司为什么没有备用飞机来及时疏解？	首先，在航班长时间延误时，航空公司会通过调整航班运行计划缩短延误时间，包括调用备份飞机，但航空公司的备份运力不是在每个航站都有的；其次，临时调机计划需要空管部门的批准方可执行，所以即使有备份运力，也不能保证用于执行航班任务。
14.航班时间一推再推，情况一变再变，却无法提供准确的起飞时间，这是为什么？	目前旅客对航班延误的最大意见就是对航空公司不信任，这实际上也是不断提供延误信息带来的一个弊端。每个航空公司都有一个调度中心在全盘掌握精心调配所有飞机的运行，一旦某一环节出问题，如飞机故障、某机场关闭等原因造成延误发生后，都会对整个航班运行造成影响，调度中心会根据情况及时进行调整，目的是尽快恢复正常的航班运行，同时通知后续航班作相应准备，并会估算出一个大概的延误时间，但是，情况是在不断变化的，不排除在调配过程中又有新的状况，如再次遭遇延误导致时间延长发生，导致一些计划被迫更改，这也就会出现时间一再拖延的情形发生。
15.航空公司因为航班出现延误而取消、合并航班，是否侵犯了旅客权益？	航空公司之所以因航班延误而取消、合并航班是有多种原因的，有公司自身的、空管的、机场的及国家重要活动等。如果是航空公司自身原因，一方面公司会对旅客权益的损失给予一定的补偿。另一方面取消、合并航班是为了维护旅客权益，解决前一航班延误影响后续航班，使航班运行秩序尽快恢复。
16.航班长时间延误了，能不能调一架飞机接旅客啊？	通常情况下，公司为避免航班长时间恶性延误，在运力、机组资源满足的情况下，会考虑安排。
17.什么是调配原因延误、计划原因延误？	调配原因延误是指在航班运行过程中，南航根据需要对航班做出调整而造成的时间延误；计划原因延误是指航班在计划编排时因航段计划时间编排不足或航班过站时间不足，造成后续航班的延误。
18.对于延误原因，航空公司、机场、空管局几个部门的回答都不一样，这是怎么回事？	针对同一个航班，航空公司、机场、空管因渠道不同，掌握的信息可能存在差异。但作为航班的承运人，当航班延误时，公司会将延误信息第一时间通知到旅客。
19.航班取消后能否将起飞日期改成几个月后的，甚至次年的？	航班取消后南航会为旅客提供最近一个后续航班或最适合旅客旅行的最近一个航班。一旦航班变更，将视为新购票合同同时成立。如旅客不接受，可直接按照非自愿退票规定免费办理全额退票。如当时不方便退票，旅客可在客票有效期内到南航直属售票处提供相应证明办理全额退票。
